Datas;Usuários;Tweets
2020-03-20;ProfCalasans;1
2020-03-20;IBrasil200;1
2020-03-20;Juaandemelo;1
2020-03-20;Lsquadros;1
2020-03-20;viniciuslorenso;1
2020-03-20;sweetlovesick;1
2020-03-20;BLucasMeioMorto;1
2020-03-20;CepedUerj;1
2020-03-20;xkrossetto;1
2020-03-20;RealMaxwell8;1
2020-03-20;EliaAbreu1;1
2020-03-20;NetoCurcio;1
2020-03-20;eduardobrasilce;1
2020-03-20;eitalets;1
2020-03-20;jAraujo9_;1
2020-03-20;azzulmarinho1;1
2020-03-20;Gabes016;1
2020-03-20;senseollie;1
2020-03-20;nmb_emilly;1
2020-03-20;DTorrieli;1
2020-03-20;almeidamilenasz;1
2020-03-20;valtertonha;1
2020-03-20;Flapkadu;1
2020-03-20;SaraNazrio2;1
2020-03-20;galvaooliveira1;1
2020-03-20;JornalPagverso;1
2020-03-20;flaviorgn;1
2020-03-20;Yasminhasb;1
2020-03-20;paulosilva_1987;1
2020-03-20;abrhbahia;1
2020-03-20;BONATTI_MC;1
2020-03-20;valeria_fratini;1
2020-03-20;_AllanSilva74;1
2020-03-20;TYFS;1
2020-03-20;natb_nunes;1
2020-03-20;Norte_Korean;1
2020-03-20;marlicris;1
2020-03-20;irenovisk;1
2020-03-20;helenadinizs;1
2020-03-20;_itsmay1_;1
2020-03-20;neroandleal;1
2020-03-20;rachelsolaris;1
2020-03-20;lorenanasc16;1
2020-03-20;KamalAyoub8;1
2020-03-20;LuanaBarrelli;1
2020-03-20;lindissimaxsou;1
2020-03-20;carolpontokiss;1
2020-03-20;Andreapyf1;1
2020-03-20;dearlastkiss;1
2020-03-20;alexandr3slv;1
2020-03-20;brunoslvx;1
2020-03-20;fabio_augustojp;1
2020-03-20;putoalienigena;1
2020-03-20;malupedroso;1
2020-03-20;pricsp;1
2020-03-20;manupsleite;1
2020-03-20;analu_dr;1
2020-03-20;Lnrisr;1
2020-03-20;iTeste1;1
2020-03-20;PortalAM1;1
2020-03-20;bomdiaamada;1
2020-03-20;SBTpedia;1
2020-03-20;jackeskretlimen;1
2020-03-20;ChampionZelda;1
2020-03-20;andre_finazzi;1
2020-03-20;Kleber50950916;1
2020-03-20;samkaraujo;1
2020-03-20;theneigbrhd;1
2020-03-20;maribenassatto;1
2020-03-20;marinhoramone;1
2020-03-20;thamilihs;1
2020-03-20;dudazoobumafu05;1
2020-03-20;srcelly123;1
2020-03-20;DonizetiTavare7;1
2020-03-20;rojasvda;1
2020-03-20;IrisBoaVista;1
2020-03-20;AlagoasReal;1
2020-03-20;___mcd13;1
2020-03-20;fabianolucas15;1
2020-03-20;matheusiq1;1
2020-03-20;may_rdgz;1
2020-03-20;diegopenaluaces;1
2020-03-20;Julay_T;1
2020-03-20;o_JaymeCunha;1
2020-03-20;biasilarr;1
2020-03-20;JZitto;1
2020-03-20;kaath;1
2020-03-20;Thay_Cabrall;1
2020-03-20;lamartina83;1
2020-03-20;Vivianerecife;1
2020-03-20;Pandaleio;1
2020-03-20;evelynfrombulls;1
2020-03-20;JaneteMarinaRe1;1
2020-03-20;kamidadepressao;1
2020-03-20;SouzaCamms;1
2020-03-20;caiofis;1
2020-03-20;Camz_laur33;1
2020-03-20;soldierwidows;1
2020-03-20;AntoniosLambert;1
2020-03-20;adrianaterra10;1
