Datas;Usuários;Tweets
2020-04-11;antonioniltona2;1
2020-04-11;geleka1;1
2020-04-11;tarcisiofaria;1
2020-04-11;Dalchaujc;1
2020-04-11;lubatssta;1
2020-04-11;leohungaro;1
2020-04-11;onlystrong7;1
2020-04-11;GilmarBispodos2;1
2020-04-11;jedi_grande;1
2020-04-11;stephanyarioza;1
2020-04-11;ElisRam01791769;1
2020-04-11;raafalove1;1
2020-04-11;mdbgrava;1
2020-04-11;luisabartoli_;1
2020-04-11;TiagoSG22;1
2020-04-11;bi_scoitu;1
2020-04-11;LeonicePizato;2
2020-04-11;ValtencirFerre4;2
2020-04-11;Luizz_Silvaa;1
2020-04-11;Jessicasombrioo;1
2020-04-11;yoonggk_;1
2020-04-11;DoMiolo15;1
2020-04-11;upfrontedperson;1
2020-04-11;cbjotape;1
2020-04-11;raaquel_camila;1
2020-04-11;AKowsky;1
