;num_tweets
(MPF);1
gestores;36
@ropromundo;2
Óleo;3
Mar;4
Quase;61
3°;74
Mundial;44
Vírus;62
@vaidesmaiar;18
@ogabrieljardim;39
Blanka;39
ilustrando;39
desejo;60
nacional;102
#digitalpainting;39
#digitalart;39
@buzolafa;1
@rodrigo_boss_;11
@oatila;59
@TheInterceptBr;13
🇸🇪;1
tampouco;45
@MJamille;46
Bem;98
desafio;63
criado;57
algumas;264
mulheres;57
incríveis;51
passar;403
inspiramos;46
@ConversaAfiada;12
Prefeito;54
apela;9
pare;12
desmobilizar;10
@gaby_marins9;23
oq;139
@joaop_nto;178
wuant;178
owhana;178
gajas;180
obrigado;211
gajos;180
@viniciusduarte;23
percebam;1
serenidade;1
equilíbrio;1
emocional;17
sujeito;5
ameaças;3
parecem;3
deve;174
@Ricamconsult;67
batalha;26
#coronavirus;253
unido;5
israelenses;3
palestinos;2
uniu;18
Apple;7
Falta;5
@brunorahall;406
vcs;653
vinho;417
receitas;407
skincare;406
exercícios;422
yoga;406
@oficialvinn;304
83;305
Papa;330
Francisco;312
aproveitou;304
prancha;304
shape;305
Qual;372
@visaomacro;65
morros;64
cariocas;64
bailes;63
funk;71
pararam;67
populações;68
favelas;89
foram;309
exterminadas;62
@diogodantas;2
Flamengo;8
inspira;2
Bayer;5
Leverkusen;2
treinos;5
Clube;19
envia;2
protocolo;132
@religiaosincera;39
macumbeiro;38
deseja;38
coisas;196
macumba;39
Hospitais;44
iniciar;33
pesquisa;50
leves;90
@danix65255914;1
Essa;332
deeeeeeeeu;1
pqp;29
@mudinho56;8
caiu;46
🧐🤔;8
repatriação;1
brasileiros;197
avança;3
Muitos;3
voltaram;13
Itamaraty;3
MinTur;1
Embratur;1
ANAC;1
Aos;7
Miami;66
obrigatório;69
entrar;169
estabelecimento;70
comercial;72
Pode;101
qualquer;205
tipo;236
@gazetadopovo;125
MANIFESTO;111
Grupo;119
publicou;117
duas;228
cartas;111
intervalo;110
poucos;153
defender;128
@ThomasVConti;25
José;26
Márcio;4
economista;3
sério;164
influente;3
Escreveu;3
Estadão;10
Destaco;3
argumentado;3
@Covid_day;12
Aqui;57
@AMdeAlcantara;3
ridícula;3
inaugura;1
manchete;9
aparece;46
@isaareira;2
Juro;5
critico;2
@Tuzzofc;3
Bom;72
acabei;21
acordar;18
Apocalipse;3
Chico;18
Xavier;15
Chernobyl;115
Lei;48
MANO;5
ANO;6
@Dakotashades;5
Dakota;5
recomendou;28
dois;217
programas;10
Sob;6
@FernandoHortaOf;188
60;194
trancado;158
pega;176
COVID;815
bolsominion;182
furou;155
mando;158
fascista;167
@ehdebochado;67
@ptrenatosimoes;3
Fiocruz;6
orgulho;5
Sistema;3
Nacional;447
Ciência;7
Tecnologia;2
Inovação;2
Nessas;2
aperto;57
serviço;16
público;127
@HelenLaviniaa;33
@vizeroficial;4
Estou;44
notando;4
muitos;65
comentários;36
conteúdo;26
dublado;4
episódios/filmes;4
causa;290
@Lethiciamf_08;1
tendo;45
algo;56
bom;142
assinando;2
show;155
gnt;28
@hugomartins35;24
outro;89
fui;115
